       lon       lat          ve          vn          vu          se          sn          su         ren         reu         rnu     start    finish      name
 -117.0932   34.1164 -2.9107e+01  7.4350e+00  1.1070e+00  5.8500e-01  3.0100e-01  9.7200e-01 -3.5100e-02 -1.7110e-01 -2.4000e-02    2001.3    2008.6  7ODM_GPS
 -116.4294   34.5943 -1.9093e+01 -2.8450e+00  3.3700e-01  4.8000e-02  5.7000e-02  1.4500e-01  9.7800e-02  9.0000e-03 -1.3200e-01    2000.0    2008.6  AGMT_GPS
 -115.1585   37.3580 -1.5570e+01 -8.9210e+00  1.4700e-01  5.7000e-02  5.3000e-02  1.9900e-01  1.0260e-01 -3.0400e-02 -1.8600e-01    1999.4    2008.6  ALAM_GPS
 -118.6948   34.8245 -2.7794e+01  6.6720e+00  1.3800e+00  2.1800e-01  2.5400e-01  3.9500e-01  7.6900e-02  1.2500e-02 -1.3660e-01    2001.6    2008.6  ALPP_GPS
 -119.3635   34.0150 -4.1065e+01  2.2819e+01  1.2160e+00  2.3400e-01  5.5500e-01  6.2700e-01  5.8800e-02 -1.7700e-02 -4.8500e-02    2002.4    2008.6  ANA1_GPS
 -118.8303   34.1574 -3.9477e+01  1.9235e+01  4.9400e-01  7.8000e-02  4.0000e-02  1.6500e-01  3.2100e-02  4.2900e-02 -1.6500e-01    1997.0    2007.0  AOA1_GPS
 -114.9318   36.3191 -1.5252e+01 -8.5420e+00  3.6800e-01  6.2000e-02  4.2000e-02  1.8200e-01  7.8200e-02 -1.3000e-03 -2.1070e-01    1999.2    2008.6  APEX_GPS
 -117.5219   36.0500 -1.9240e+01 -3.4320e+00 -4.3200e-01  6.0000e-02  3.5000e-02  1.6700e-01  6.9900e-02  5.2300e-02 -1.7370e-01    1999.2    2008.6  ARGU_GPS
 -118.9104   35.2013 -2.8741e+01 -1.3400e-01 -1.0866e+01  2.8300e-01  4.6200e-01  1.0160e+00  6.1500e-02 -1.8200e-02 -8.8300e-02    2000.4    2008.6  ARM1_GPS
 -117.1540   34.4683 -2.7431e+01  2.7110e+00  1.6900e-01  2.5800e-01  1.8200e-01  2.9600e-01  7.8600e-02 -4.7000e-02 -1.4880e-01    1999.0    2008.6  AVRY_GPS
 -116.6297   33.5401 -3.1978e+01  1.1934e+01  4.9800e-01  5.0000e-02  4.2000e-02  1.2700e-01  1.0460e-01 -2.1000e-03 -1.3860e-01    1999.6    2008.6  AZRY_GPS
 -117.8965   34.1260 -3.6221e+01  1.2697e+01 -3.8700e-01  9.4000e-02  7.7000e-02  1.7800e-01  2.9100e-02  7.0600e-02 -1.8820e-01    1997.0    2008.6  AZU1_GPS
 -118.9014   37.7834 -1.9619e+01 -4.5300e+00  9.5200e-01  1.2000e-01  5.0800e-01  5.9700e-01  6.5900e-02  1.9500e-02 -1.6940e-01    2002.0    2008.6  BALD_GPS
 -117.2046   40.4128 -1.6401e+01 -8.7010e+00  1.3940e+00  8.3000e-02  9.8000e-02  3.7800e-01  8.0300e-02  2.1400e-02 -1.6070e-01    2003.1    2008.6  BAMO_GPS
 -119.0297   33.4804 -4.1236e+01  2.2916e+01 -5.0100e-01  1.1200e-01  6.9000e-02  2.8400e-01  8.6200e-02  8.5100e-02 -1.5390e-01    2002.3    2008.6  BAR1_GPS
 -119.9815   34.5822 -4.0170e+01  2.0324e+01  8.7200e-01  1.4700e-01  9.8000e-02  2.8700e-01  5.9000e-02 -1.1400e-02 -6.6800e-02    2000.7    2008.6  BBDM_GPS
 -116.8842   34.2643 -2.3804e+01  4.6860e+00  9.3100e-01  5.6000e-02  8.6000e-02  1.8200e-01  9.8000e-02 -2.4200e-02 -2.1050e-01    1998.8    2008.6  BBRY_GPS
 -119.4058   34.9205 -3.3411e+01  1.0205e+01  4.7700e-01  6.7000e-02  7.7000e-02  2.4100e-01  5.8200e-02 -1.5200e-02 -1.2820e-01    2000.8    2008.6  BCWR_GPS
 -116.6211   37.0399 -1.5761e+01 -8.5560e+00 -1.1100e-01  4.6000e-02  3.1000e-02  1.2200e-01  8.4000e-02  7.8000e-03 -1.8650e-01    1999.1    2008.6  BEAT_GPS
 -115.9982   34.0005 -1.6809e+01 -4.1970e+00  1.6900e-01  5.6000e-02  4.9000e-02  1.7400e-01  7.8500e-02  9.6000e-03 -1.3260e-01    2001.9    2008.6  BEMT_GPS
 -118.0741   35.8784 -2.0923e+01 -2.0000e-02  7.2800e-01  9.2000e-02  2.1700e-01  2.1400e-01  7.0800e-02  2.0800e-02 -1.5900e-01    2000.7    2008.6  BEPK_GPS
 -118.1597   33.9671 -3.9001e+01  1.6441e+01 -2.2540e+00  8.1000e-02  9.6000e-02  3.6500e-01  4.7300e-02  1.5900e-02 -2.0330e-01    1999.3    2008.6  BGIS_GPS
 -117.0646   33.5782 -3.5963e+01  1.5022e+01 -6.6000e-01  6.0000e-02  8.3000e-02  1.5900e-01  7.7900e-02  7.4000e-03 -1.3250e-01    1997.9    2008.6  BILL_GPS
 -116.0804   35.2870 -1.5999e+01 -8.5120e+00  1.2500e-01  6.0000e-02  4.1000e-02  3.1100e-01  5.5600e-02  8.7000e-03 -7.9600e-02    2000.9    2008.6  BKAP_GPS
 -118.0947   33.9623 -3.9990e+01  2.0140e+01  1.7390e+00  6.5000e-02  1.0600e-01  2.6700e-01  8.0300e-02  1.3800e-02 -1.3060e-01    1998.6    2008.6  BKMS_GPS
 -119.1095   35.1324 -2.6655e+01  8.1510e+00 -1.4255e+01  3.0100e-01  5.3900e-01  2.0300e+00  6.2700e-02  8.0000e-04 -6.6300e-02    2004.1    2008.6  BKR1_GPS
 -118.0287   33.7995 -3.8967e+01  1.7068e+01 -3.3410e+00  1.3300e-01  9.9000e-02  2.2220e+00  5.7300e-02 -2.5800e-02 -1.4420e-01    2003.0    2008.6  BLSA_GPS
 -114.7148   33.6104 -1.4050e+01 -7.9050e+00  7.9200e-01  5.4000e-02  5.6000e-02  2.4600e-01  7.2900e-02  3.4000e-03 -1.4930e-01    1997.0    2008.6  BLYT_GPS
 -116.0530   34.2514 -1.5031e+01 -5.5860e+00  7.3600e-01  4.4000e-02  3.8000e-02  1.3500e-01  8.3100e-02  3.6000e-03 -1.3090e-01    2000.0    2008.6  BMHL_GPS
 -116.9847   33.9627 -2.6451e+01  9.1960e+00 -1.8110e+00  8.3000e-02  4.3000e-02  1.6700e-01  8.3700e-02  2.3000e-02 -1.2620e-01    1999.2    2008.6  BMRY_GPS
 -118.2770   34.1849 -3.7470e+01  1.4168e+01 -1.0000e-01  6.2000e-02  4.9000e-02  1.7200e-01  6.2700e-02  2.1200e-02 -2.7540e-01    1997.0    2008.6  BRAN_GPS
 -122.1526   37.9194 -2.6332e+01  5.8440e+00 -1.5300e-01  8.0000e-02  1.1900e-01  3.3500e-01  6.6400e-02  2.4700e-02 -1.9410e-01    1997.0    2008.6  BRIB_GPS
 -118.5768   34.6823 -3.1046e+01  9.5580e+00  3.9000e-01  4.5000e-02  7.1000e-02  1.9600e-01  6.9300e-02  2.9400e-02 -1.5410e-01    2000.9    2008.6  BRPK_GPS
 -117.0120   34.9186 -2.0665e+01  5.5800e-01 -4.6700e-01  5.0000e-02  8.3000e-02  1.1600e-01  7.3700e-02  6.9000e-03 -1.4020e-01    1998.9    2008.6  BSRY_GPS
 -118.1882   34.2928 -3.6038e+01  1.2446e+01 -5.2000e-01  8.4000e-02  7.7000e-02  2.4300e-01 -7.8000e-03  2.4400e-02 -7.5300e-02    2000.1    2008.6  BTDM_GPS
 -116.8717   36.9176 -1.5980e+01 -8.2710e+00  1.0000e-02  4.3000e-02  4.2000e-02  1.6100e-01  8.4400e-02  1.4600e-02 -1.8220e-01    1999.2    2008.6  BULL_GPS
 -116.4509   36.7453 -1.5690e+01 -8.5920e+00 -1.0500e-01  4.5000e-02  3.3000e-02  1.2800e-01  8.6600e-02  1.8900e-02 -1.9140e-01    1999.2    2008.6  BUST_GPS
 -119.3475   35.1573 -2.8429e+01  4.0500e+00 -3.8900e-01  8.4000e-02  7.4000e-02  2.3000e-01  6.0100e-02  1.0700e-02 -1.4410e-01    2000.8    2008.6  BVPP_GPS
