       lon       lat          ve          vn          vu          se          sn          su         ren         reu         rnu     start    finish      name
 -122.0000   30.0000  6.8059e+00 -4.8673e+00 -5.3427e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0001
 -122.0000   30.2647  6.4002e+00 -4.8440e+00  4.0254e-04  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0002
 -122.0000   30.5294  5.7913e+00 -4.8764e+00 -9.3579e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0003
 -122.0000   30.7941  5.3392e+00 -4.8718e+00  9.1355e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0004
 -122.0000   31.0588  4.8660e+00 -4.8884e+00 -5.4033e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0005
 -122.0000   31.3235  4.3274e+00 -4.8817e+00 -6.3120e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0006
 -122.0000   31.5882  3.8366e+00 -4.8470e+00  8.9883e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0007
 -122.0000   31.8529  3.2353e+00 -4.8433e+00 -2.2214e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0008
 -122.0000   32.1176  2.7935e+00 -4.8081e+00 -8.4330e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0009
 -122.0000   32.3824  2.1442e+00 -4.8788e+00 -9.0226e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0010
 -122.0000   32.6471  1.6539e+00 -4.8569e+00 -6.9518e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0011
 -122.0000   32.9118  1.2167e+00 -4.8914e+00  1.1683e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0012
 -122.0000   33.1765  7.1064e-01 -4.8617e+00  2.8097e-03  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0013
 -122.0000   33.4412  2.4451e-01 -4.8357e+00 -9.9284e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0014
 -122.0000   33.7059 -3.0865e-01 -4.9172e+00 -2.3937e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0015
 -122.0000   33.9706 -7.8136e-01 -4.8769e+00  6.7299e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0016
 -122.0000   34.2353 -1.3185e+00 -4.8590e+00  5.2060e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0017
 -122.0000   34.5000 -1.8872e+00 -4.9192e+00  1.6448e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0018
 -122.0000   34.7647 -2.3962e+00 -4.9013e+00 -5.2303e-02  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0019
 -122.0000   35.0294 -2.9570e+00 -4.8968e+00 -1.0020e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0020
